iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
127,16256,-35.1307,346.9,0.00,2.00,-0.007930,2.111164,0.241574,0.521463,0.472671,-1.000000,1.000000,-2.392393,2.413509,0,rule_nearest,38
128,16384,-35.1307,346.9,0.00,2.00,-0.006068,0.102185,0.241416,0.581477,0.511809,-1.000000,1.000000,-1.099560,1.871375,0,rule_nearest,38
129,16512,-35.1307,346.9,0.00,2.00,-0.000876,0.009961,0.241868,0.630172,0.398667,-0.969077,1.000000,-0.025619,0.139407,0,rule_nearest,38
130,16640,-34.4851,344.5,0.00,2.00,-0.006850,1.655063,0.241815,0.521534,0.498434,-1.000000,1.000000,-2.922853,1.838980,0,rule_nearest,39
131,16768,-34.4851,344.5,0.00,2.00,-0.003741,0.079789,0.241467,0.611784,0.399271,-0.871278,1.000000,-0.244424,0.181148,0,rule_nearest,39
132,16896,-34.4851,344.5,0.00,2.00,-0.001140,0.024727,0.240994,0.598794,0.431978,-1.000000,1.000000,-0.262912,0.152056,0,rule_nearest,39
133,17024,-35.1794,351.2,0.00,2.00,-0.002370,2.285410,0.240400,0.514807,0.522527,-1.000000,1.000000,-3.613927,2.370098,0,rule_nearest,40
134,17152,-35.1794,351.2,0.00,2.00,-0.001440,0.056818,0.239871,0.617720,0.428704,-1.000000,1.000000,0.444829,0.129267,0,rule_nearest,40
135,17280,-35.1794,351.2,0.00,2.00,-0.005321,0.099350,0.238859,0.597394,0.431930,-1.000000,1.000000,-0.353319,0.204461,0,rule_nearest,40
136,17408,-35.2898,357.7,0.00,2.00,-0.004683,2.214196,0.237939,0.502502,0.500687,-1.000000,1.000000,-2.845510,2.104448,0,rule_nearest,41
137,17536,-35.2898,357.7,0.00,2.00,-0.003656,0.025372,0.237576,0.612440,0.416469,-1.000000,1.000000,-0.142695,0.113825,0,rule_nearest,41
138,17664,-35.7176,359.5,0.00,2.00,-0.006687,2.059491,0.237757,0.611843,0.421123,-1.000000,1.000000,-0.524412,0.713231,0,rule_nearest,42
139,17792,-35.7176,359.5,0.00,2.00,-0.003050,0.307581,0.238195,0.519960,0.503609,-1.000000,1.000000,-4.009641,2.676507,0,rule_nearest,42
140,17920,-35.7176,359.5,0.00,2.00,-0.002847,0.115251,0.238826,0.623374,0.424357,-1.000000,1.000000,0.582766,0.096885,0,rule_nearest,42
141,18048,-35.2438,365.9,0.00,2.00,-0.003694,2.098955,0.239275,0.571548,0.477011,-1.000000,1.000000,-0.829452,1.837472,0,rule_nearest,43
142,18176,-35.2438,365.9,0.00,2.00,-0.003633,0.113013,0.239916,0.535007,0.529761,-1.000000,1.000000,-2.340482,1.873087,0,rule_nearest,43
143,18304,-35.2438,365.9,0.00,2.00,0.001368,0.078114,0.240499,0.611549,0.474520,-1.000000,1.000000,-0.440846,0.121800,0,rule_nearest,43
144,18432,-34.6712,361.4,0.00,2.00,-0.001546,1.566520,0.240636,0.523760,0.517671,-1.000000,1.000000,-2.414155,1.881579,0,rule_nearest,44
145,18560,-34.6712,361.4,0.00,2.00,-0.003858,0.064550,0.240960,0.587424,0.492918,-1.000000,1.000000,-0.209248,0.925964,0,rule_nearest,44
146,18688,-34.5925,354.9,0.00,2.00,-0.002911,1.546025,0.241402,0.582158,0.508509,-1.000000,1.000000,-1.164011,2.126235,0,rule_nearest,45
147,18816,-34.5925,354.9,0.00,2.00,-0.009251,0.111881,0.242004,0.544267,0.518639,-1.000000,1.000000,-2.539903,2.057499,0,rule_nearest,45
148,18944,-34.5925,354.9,0.00,2.00,-0.006090,0.010728,0.242882,0.603309,0.438355,-1.000000,1.000000,-0.136807,0.110684,0,rule_nearest,45
149,19072,-34.2422,355.5,0.00,2.00,-0.004518,2.099494,0.243632,0.571483,0.494902,-1.000000,1.000000,-1.357054,2.061253,0,rule_nearest,46
150,19200,-34.2422,355.5,0.00,2.00,-0.006197,0.104054,0.243984,0.582154,0.524445,-1.000000,1.000000,-1.300752,1.634545,0,rule_nearest,46
151,19328,-34.2422,355.5,0.00,2.00,-0.002934,0.008885,0.244498,0.610205,0.376732,-1.000000,1.000000,0.022099,0.125371,0,rule_nearest,46
152,19456,-34.6631,351.2,0.00,2.00,-0.004993,1.650497,0.245316,0.526601,0.486498,-1.000000,1.000000,-2.736742,1.652361,0,rule_nearest,47
153,19584,-34.6631,351.2,0.00,2.00,-0.000530,0.085546,0.245700,0.625386,0.389044,-1.000000,1.000000,-0.389076,0.133415,0,rule_nearest,47
154,19712,-34.6571,344.0,0.00,2.00,-0.006168,1.612786,0.245927,0.558671,0.500433,-1.000000,1.000000,-2.940027,2.068975,0,rule_nearest,48
155,19840,-34.6571,344.0,0.00,2.00,-0.005624,0.080803,0.246177,0.596381,0.418505,-1.000000,1.000000,-0.284157,0.728405,0,rule_nearest,48
156,19968,-34.6571,344.0,0.00,2.00,-0.005787,0.014570,0.246552,0.611164,0.382828,-1.000000,1.000000,-0.045396,0.163788,0,rule_nearest,48
157,20096,-35.3028,345.2,0.00,2.00,-0.009985,2.144273,0.246905,0.517091,0.475753,-1.000000,1.000000,-3.693340,2.310543,0,rule_nearest,49
158,20224,-35.3028,345.2,0.00,2.00,-0.004597,0.066717,0.247087,0.629907,0.391164,-1.000000,1.000000,0.138405,0.178289,0,rule_nearest,49
159,20352,-35.2413,344.0,0.00,2.00,-0.004406,2.144409,0.247150,0.626264,0.406014,-1.000000,1.000000,-0.491002,0.548896,0,rule_nearest,50
160,20480,-35.2413,344.0,0.00,2.00,-0.004048,0.364807,0.247236,0.471440,0.463690,-1.000000,1.000000,-4.218117,2.019040,0,rule_nearest,50
161,20608,-35.2413,344.0,0.00,2.00,-0.002400,0.351075,0.246782,0.623510,0.407217,-1.000000,1.000000,0.939497,0.092092,0,rule_nearest,50
162,20736,-35.4843,343.1,0.00,2.00,-0.003675,2.108746,0.246246,0.584649,0.461072,-1.000000,1.000000,-0.872466,2.021292,0,rule_nearest,51
163,20864,-35.4843,343.1,0.00,2.00,-0.006639,0.173508,0.245867,0.485099,0.487669,-1.000000,1.000000,-3.200742,2.154415,0,rule_nearest,51
164,20992,-35.4843,343.1,0.00,2.00,-0.006718,0.106211,0.245767,0.638605,0.411053,-1.000000,1.000000,-0.582408,0.144232,0,rule_nearest,51
165,21120,-34.9789,337.3,0.00,2.00,-0.003666,1.590825,0.245772,0.506806,0.448133,-1.000000,1.000000,-2.860091,2.009847,0,rule_nearest,52
