team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination,pn_guidance_frames,pn_nonzero_command_frames,maximum_command_g
blue,blue_0,red_1,m0,81,962,2340.367605235587,0.4662565275184543,26.71453119723276,1.5767638404585762,90.3419133471155,2340.367605235587,2051.882167692972,-1125.6554079911602,303.0499824932992,273.2995790360098,226.7393952809316,5594.274722033901,4468.61931404274,True,overshoot,miss,False,5.049999999999987,81,106,25,True,303,303,30.000000000000007
blue,blue_1,red_1,m1,76,910,2710.0351273422752,0.3655526882526594,20.94462622653889,1.7877823808334075,102.43238510960428,2710.0351273422752,2672.017390495845,-452.3421894062458,300.5733895030943,247.80340837588975,227.05913230994,5791.495379548177,5339.153190141931,True,hit,hit,True,4.233333333333324,76,97,21,False,253,253,30.000000000000007
blue,blue_0,red_0,m2,103,1229,3547.705401684774,0.5504739664026612,31.539835006698762,2.8863219522801367,165.37406618161202,3547.705401684774,3505.5263836014956,545.4341307776276,299.21240539898963,283.50953655426974,-2.271559711939158,5101.120549832944,5646.554680610571,True,hit,hit,True,6.733333333333315,103,136,33,False,403,403,30.000000000000004
blue,blue_2,red_2,m2,99,1178,2445.225072540524,0.7342334325083993,42.06847686013486,2.4048534444213807,137.787952712844,2445.225072540524,2386.5766794393307,-532.3320472573005,302.2652479978594,259.9861351252686,37.71724278584914,5522.327652619057,4989.995605361756,True,hit,hit,True,4.966666666666654,99,123,24,False,297,297,30.000000000000007
blue,blue_2,red_2,m3,138,1647,2433.248424518918,0.6346381849481327,36.362089515370975,2.811696104377866,161.09832005422672,2433.248424518918,2376.151327688568,-524.0255369232045,295.7533625155464,237.81966113859968,1.4426956143752605,4812.8455601129135,4288.820023189709,True,hit,hit,True,4.39999999999999,138,160,22,False,263,263,30.000000000000004
blue,blue_2,red_1,m1,88,1054,1206.4078759297267,0.2434729488745345,13.949972396115294,1.5804465294541625,90.55291588382187,1206.4078759297267,1153.3778729648088,-353.7505410037529,298.5641792928527,243.62881498106995,302.1475281712446,5649.957158659373,5296.20661765562,True,overshoot,miss,False,2.28333333333333,88,100,12,True,137,137,30.000000000000007
blue,blue_0,red_0,m0,79,937,2245.9649321813868,0.41324168018683055,23.67700419360032,1.5709062594986793,90.00629867995721,2245.9649321813868,2244.737305744719,74.2489379485105,301.2272587781376,236.9053787181073,274.94970970390335,5749.239431408875,5823.488369357386,True,overshoot,miss,False,4.266666666666657,79,100,21,True,256,256,30.000000000000007
blue,blue_0,red_0,m0,63,749,3825.053761988907,0.2350399438190742,13.466796797824932,1.5726979353698214,90.10895414562908,3825.053761988907,3763.4664360640722,683.6348928519383,301.9632496167041,235.65478552716215,297.19759975389377,6016.247469255386,6699.882362107324,True,hit,hit,True,5.516666666666652,63,90,27,False,330,330,30.000000000000007
blue,blue_1,red_1,m2,79,944,2747.8605237844654,0.3228456844084863,18.497695150618792,1.7350336901932817,99.41010776108385,2747.8605237844654,2701.4833487602423,502.71778817163886,300.3810064618077,232.33751997941525,240.50028833257588,5891.946113607664,6394.663901779303,True,hit,hit,True,4.116666666666657,79,100,21,False,246,246,30.000000000000004
blue,blue_2,red_2,m1,78,936,2132.8534380277947,0.464299513324167,26.602402543452904,1.5757510806946433,90.28388648698147,2132.8534380277947,2115.5934177300414,-270.791947746432,301.90931454908906,266.8398379085424,292.0184364335282,5751.606810680183,5480.814862933751,True,overshoot,miss,False,4.799999999999988,78,102,24,True,288,288,30.000000000000007
