team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_2,m0,47,563,5659.347652554136,0.2401844013175062,13.761552500369515,1.7160099678754595,98.3201287616438,5659.347652554136,5623.693598698793,-634.2603254376154,256.70028630716473,269.2381352314422,240.0607180348347,6073.384479154571,5439.124153716955,True,hit,hit,True,9.533333333333387,47,95,48,False
blue,blue_0,red_2,m0,50,594,5437.193050834085,0.2868977523746077,16.438030362854413,1.7040614978256974,97.63553185615397,5437.193050834085,5413.559338363581,-506.4025691630286,257.1254001529351,268.1569620022732,243.71510894123654,6004.752086413993,5498.349517250965,True,hit,hit,True,9.233333333333372,50,96,46,False
blue,blue_0,red_1,m2,65,773,4090.1797965539863,0.2535418189629768,14.526876156648552,1.7314605886773862,99.20538412445124,4090.1797965539863,4080.3604900948444,-283.2473106869202,246.5190200207105,265.8522749188167,240.63726857496565,5981.910398892371,5698.663088205451,True,hit,hit,True,7.0833333333333135,65,100,35,False
blue,blue_0,red_2,m0,45,538,5780.331885994873,0.24319163923425702,13.933854540991051,1.7029623099491706,97.57255302993704,5780.331885994873,5773.932452962145,-271.9204679305958,259.30010646048385,259.32793539254635,258.867051993262,6060.020356833667,5788.099888903072,True,hit,hit,True,9.200000000000037,45,91,46,False
blue,blue_0,red_0,m1,59,698,4594.095809149618,0.07459353716642035,4.273894858588132,1.6366071947946423,93.770684982478,4594.095809149618,4496.02636596549,-944.1732998709649,251.50022030593777,265.52866689776255,241.93663956639955,5942.943335850281,4998.770035979316,True,hit,hit,True,8.299999999999992,59,100,41,False
blue,blue_0,red_1,m2,61,728,4526.800817984561,0.2504526794949434,14.34988150280295,1.7038214528671425,97.62177829313538,4526.800817984561,4465.986706050814,-739.5190241522478,250.36767325575994,263.7900459989013,208.4881366235905,5915.447264051798,5175.92823989955,True,hit,hit,True,8.18333333333332,61,102,41,False
blue,blue_0,red_2,m0,43,507,5998.218424619005,0.28327401341100417,16.23040541418282,1.600313679628898,91.6912197397868,5998.218424619005,5991.4784127567045,-284.27222676390284,260.70609420302424,259.38556729530944,274.470148727549,6083.835412135956,5799.563185372053,True,hit,hit,True,9.483333333333384,43,90,47,False
blue,blue_0,red_0,m1,63,751,4500.372738443717,0.15611039397581067,8.944466712938462,1.6377898006241143,93.83844330533431,4500.372738443717,4420.169228665995,-845.8479620367125,247.0990396354622,273.68723594993645,217.21688129358523,5942.007685412373,5096.15972337566,True,hit,hit,True,7.5499999999999785,63,101,38,False
blue,blue_0,red_0,m2,61,728,4345.041747821279,0.1379438159552909,7.903598464167555,1.6507924744777993,94.58344163953556,4345.041747821279,4341.346593377294,-179.15788143746613,247.01468602777354,260.7947735373617,254.53622313163325,6045.860981381387,5866.703099943921,True,hit,hit,True,6.933333333333314,61,96,35,False
blue,blue_0,red_1,m2,66,781,4461.351067260284,0.2555222055832925,14.640343951796822,1.7672512238490476,101.25603646587993,4461.351067260284,4404.844599112495,-707.8117002522376,245.15009143182274,270.6124189326074,204.18927469164566,5915.738278843317,5207.926578591079,True,hit,hit,True,8.950000000000024,66,110,44,False
